id,x,y
320,0.16,0.57
321,0.00,0.00
322,0.03,0.08
323,0.20,0.39
324,0.00,0.00
325,0.18,0.78
326,0.18,0.80
327,0.16,0.74
328,0.27,0.50
329,0.20,0.57
330,0.10,0.73
331,0.00,0.00
332,0.18,0.33
333,0.08,0.63
334,0.13,0.51
335,0.25,0.44
336,0.10,0.53
337,0.20,0.46
338,0.07,0.67
339,0.17,0.52
340,0.15,0.80
341,0.14,0.55
342,0.15,0.41
343,0.28,0.34
344,0.16,0.76
345,0.16,0.41
346,0.17,0.38
347,0.21,0.79
348,0.18,0.68
349,0.22,0.62
350,0.12,0.62
351,0.08,0.36
352,0.19,0.53
353,0.12,0.57
354,0.18,0.80
355,0.15,0.53
356,0.22,0.59
357,0.12,0.82
358,0.11,0.51
359,0.16,0.70
360,0.12,0.58
361,0.17,0.39
362,0.13,0.47
363,0.16,0.53
364,0.11,0.48
365,0.13,0.68
366,0.15,0.55
367,0.15,0.53
368,0.15,0.56
369,0.10,0.55
370,0.15,0.68
371,0.18,0.59
372,0.11,0.44
373,0.13,0.64
374,0.14,0.66
375,0.11,0.40
376,0.15,0.63
377,0.11,0.18
378,0.16,0.56
379,0.16,0.74
380,0.12,0.53
381,0.13,0.71
382,0.19,0.76
383,0.19,0.51
384,0.17,0.68
385,0.12,0.63
386,0.15,0.69
387,0.18,0.73
388,0.15,0.82
389,0.18,0.37
390,0.00,0.00
391,0.67,0.00
392,0.15,0.42
393,0.14,0.80
394,0.14,0.58
395,0.08,0.56
396,0.00,1.00
397,0.07,0.36
398,0.15,0.57
399,0.21,0.63
400,0.29,0.53
401,0.17,0.70
402,0.00,0.00
403,0.10,0.79
404,0.23,0.32
405,0.14,0.89
406,0.16,0.61
407,0.12,0.66
408,0.14,0.36
409,0.18,0.71
410,0.13,0.57
411,0.00,0.00
412,0.17,0.71
413,0.16,0.63
414,0.17,0.61
415,0.15,0.76
416,0.15,0.53
417,0.29,0.42
418,0.37,0.38
419,0.18,0.62
420,0.16,0.76
421,0.12,0.67
422,0.16,0.60
423,0.20,0.75
424,0.23,0.31
425,0.22,0.41
426,0.00,0.00
427,0.27,0.37
428,0.23,0.50
429,0.14,0.71
430,0.15,0.62
431,0.16,0.50
432,0.18,0.69
433,0.27,0.64
434,0.16,0.59
435,0.13,0.43
436,0.11,0.69
437,0.11,1.00
438,0.10,0.85
439,0.12,0.54
440,0.13,0.67
441,0.00,0.00
442,0.16,0.35
443,0.17,0.31
444,0.00,0.00
445,0.08,0.56
446,0.12,0.70
447,0.13,0.63
448,0.11,0.46
449,0.10,0.25
450,0.08,0.23
451,0.15,0.35
452,0.15,0.42
453,0.15,0.37
454,0.22,1.00
455,0.22,0.51
456,0.00,0.00
457,0.22,0.53
458,0.17,0.57
459,0.00,0.00
