id,x,y
320,0.08,0.33
321,0.18,0.27
322,0.18,0.78
323,0.08,0.72
324,0.28,0.46
325,0.13,0.31
326,0.17,0.00
327,0.19,0.00
328,0.10,0.51
329,0.00,0.42
330,0.00,0.41
331,0.14,0.00
332,0.19,0.61
333,0.14,0.16
334,0.00,0.00
335,0.18,0.83
336,0.41,0.04
337,0.00,0.53
338,0.12,0.00
339,0.01,0.00
340,0.23,0.43
341,0.00,0.64
342,0.00,0.00
343,0.16,0.00
344,0.11,0.07
345,0.00,0.55
346,0.00,0.67
347,0.15,0.64
348,0.21,0.64
349,0.17,0.96
350,0.10,0.50
351,0.15,0.50
352,0.19,0.56
353,0.13,0.48
354,0.11,1.00
355,0.17,0.76
356,0.18,0.57
357,0.10,0.50
358,0.09,0.59
359,0.14,0.63
360,0.11,0.53
361,0.13,0.73
362,0.13,0.00
363,0.12,0.14
364,0.13,0.73
365,0.49,0.00
366,0.45,0.85
367,0.14,0.56
368,0.00,0.47
369,0.19,0.65
370,0.16,0.55
371,0.14,0.55
372,0.12,0.56
373,0.21,0.00
374,0.12,0.25
375,0.15,0.70
376,0.00,0.33
377,0.36,0.50
378,0.17,0.73
379,0.12,0.55
380,0.00,0.00
381,0.13,0.70
382,0.13,0.50
383,0.00,0.11
384,0.14,0.45
385,0.13,0.45
386,0.09,0.56
387,0.14,0.22
388,0.17,0.53
389,0.16,0.84
390,0.35,0.63
391,0.15,0.69
392,0.15,0.83
393,0.14,0.50
394,0.22,0.56
395,0.15,1.00
396,0.15,0.71
397,0.08,0.39
398,0.11,0.47
399,0.13,0.56
400,0.14,0.14
401,0.18,0.65
402,0.13,0.49
403,0.09,0.50
404,0.16,0.57
405,0.13,0.43
406,0.16,0.63
407,0.15,0.77
408,0.07,0.43
409,0.17,0.40
410,0.16,0.00
411,0.13,0.53
412,0.10,0.17
413,0.00,0.65
414,0.17,0.38
415,0.06,0.48
416,0.13,0.69
417,0.14,0.50
418,0.18,0.36
419,0.16,
420,0.33,
421,0.20,
