ID,x,y
320,0.16,0.55
321,0.28,0.36
322,0.13,0.64
323,0.12,0.59
324,0.00,0.00
325,0.46,0.14
326,0.17,0.53
327,0.04,0.07
328,0.18,0.46
329,0.31,0.29
330,0.08,0.42
331,0.00,0.00
332,0.36,0.23
333,0.00,0.00
334,0.32,0.71
335,0.33,0.67
336,0.00,0.00
337,0.00,0.00
338,0.13,0.67
339,0.18,0.67
340,0.05,0.64
341,0.00,0.00
342,0.00,0.00
343,0.14,0.44
344,0.23,0.41
345,0.23,0.24
346,0.21,0.35
347,0.00,0.00
348,0.25,0.75
349,0.20,0.19
350,0.21,0.21
351,0.09,0.71
352,0.04,0.36
353,0.13,0.00
354,0.18,0.58
355,0.14,0.31
356,0.16,0.47
357,0.32,0.32
358,0.24,0.60
359,0.19,0.54
360,0.27,0.47
361,0.06,0.32
362,0.08,0.55
363,0.04,0.40
364,0.06,0.57
365,0.18,0.50
366,0.34,0.48
367,0.22,0.80
368,0.19,0.56
369,0.06,0.33
370,0.08,0.61
371,0.29,0.33
372,0.05,0.50
373,0.06,0.49
374,0.02,0.32
375,0.38,0.34
376,0.21,0.73
377,0.28,0.38
378,0.05,0.50
379,0.00,0.00
380,0.05,0.22
381,0.00,0.00
382,0.21,0.48
383,0.30,0.25
384,0.24,0.13
385,0.67,0.00
386,0.28,0.00
387,0.26,0.00
388,0.46,0.12
389,0.22,0.68
390,0.64,0.12
391,0.41,0.27
392,0.30,0.36
393,0.11,0.56
394,0.48,0.22
395,0.21,0.59
396,0.36,0.33
397,0.17,0.48
398,0.00,1.00
399,0.21,0.46
400,0.12,0.50
401,0.29,0.33
402,0.20,0.28
403,0.00,0.67
404,0.00,0.00
405,0.00,0.00
406,0.38,0.67
407,0.14,0.47
408,0.00,0.00
409,0.14,0.34
410,0.12,0.53
411,0.00,0.00
412,0.16,0.47
413,0.04,0.56
414,0.00,0.00
415,0.03,0.16
416,0.00,0.00
417,0.35,0.29
418,0.22,0.35
419,0.21,0.41
420,0.20,0.40
421,0.51,0.19
422,0.00,0.00
423,0.00,0.00
424,0.22,0.39
425,0.31,0.29
426,0.20,0.38
427,0.16,0.22
428,0.49,0.14
429,0.00,0.00
430,0.13,0.27
431,0.28,0.27
432,0.32,0.30
433,0.08,0.43
434,0.12,0.49
435,0.14,0.58
436,0.25,0.55
437,0.31,0.18
438,0.35,0.32
439,0.15,0.54
440,0.32,0.20
441,0.30,0.34
442,0.19,0.68
443,0.11,0.46
444,0.20,0.48
445,0.18,0.77
446,0.00,0.00
447,0.00,0.00
448,0.16,0.42
449,0.24,0.46
450,0.32,0.33
451,0.17,0.26
452,0.28,0.34
453,0.24,0.30
454,0.42,0.08
455,0.12,0.57
456,0.18,0.63
457,0.24,0.11
458,0.00,0.00
459,0.28,0.39
460,0.00,0.67
461,0.00,0.00
462,0.31,0.44
463,0.59,0.17
464,0.20,0.26
465,0.26,0.60
466,0.23,0.52
467,0.30,0.49
468,0.24,0.47
469,0.26,0.46
470,0.43,0.21
471,0.21,0.55
472,0.03,0.67
473,0.00,0.00
474,0.02,0.24
475,0.11,0.60
476,0.00,0.00
477,0.35,0.33
478,0.19,0.50
479,0.21,0.55
480,0.14,0.70
481,0.00,0.00
482,0.00,0.00
483,0.00,0.00
484,0.16,0.48
485,0.00,0.00
486,0.00,0.00
487,0.28,0.37
488,0.00,0.00
489,0.06,0.40
490,0.54,0.11
491,0.54,0.19
492,0.00,0.00
