id,x,y
320,0.14,0.43
321,0.00,0.00
322,0.15,0.65
323,0.11,0.64
324,0.12,0.55
325,0.14,0.55
326,0.16,0.63
327,0.16,0.30
328,0.13,0.55
329,0.06,0.46
330,0.00,0.00
331,0.13,0.60
332,0.10,0.64
333,0.08,0.83
334,0.07,0.22
335,0.10,0.57
336,0.11,0.57
337,0.00,0.00
338,0.17,0.30
339,0.12,0.50
340,0.06,0.71
341,0.12,0.58
342,0.11,0.57
343,0.09,0.55
344,0.13,0.57
345,0.00,0.00
346,0.09,0.65
347,0.24,0.57
348,0.12,0.51
349,0.23,0.70
350,0.09,0.74
351,0.19,0.64
352,0.08,0.73
353,0.19,0.60
354,0.00,0.00
355,0.11,0.79
356,0.21,0.29
357,0.16,0.88
358,0.16,0.72
359,0.13,0.54
360,0.11,0.60
361,0.00,0.00
362,0.08,0.52
363,0.17,0.40
364,0.00,0.00
365,0.29,0.75
366,0.14,0.78
367,0.50,1.00
368,0.12,0.46
369,0.10,0.58
370,0.06,0.25
371,0.14,0.50
372,0.08,0.18
373,0.15,0.53
374,0.11,0.50
375,0.00,0.00
376,0.19,0.60
377,0.00,0.00
378,0.30,0.00
379,0.11,0.43
380,0.16,0.59
381,0.15,0.71
382,0.00,0.00
383,0.16,0.46
384,0.00,0.00
385,0.14,0.62
386,0.13,0.75
387,0.14,0.66
388,0.07,0.80
389,0.00,1.00
390,0.00,0.00
391,0.13,0.59
392,0.00,0.00
393,0.16,0.43
394,0.09,0.48
395,0.15,0.81
396,0.16,0.76
397,0.00,0.00
398,0.12,0.59
399,0.00,0.00
400,0.10,0.61
401,0.16,0.69
402,0.16,0.48
403,0.10,0.74
404,0.06,0.57
405,0.14,0.67
406,0.08,0.80
407,0.12,0.65
408,0.13,0.76
409,0.24,0.83
410,0.17,0.40
411,0.12,0.68
412,0.11,0.59
413,0.15,0.57
414,0.12,0.71
415,0.13,0.79
416,0.08,0.45
417,0.16,0.58
418,0.07,0.49
419,0.19,0.75
420,0.15,0.52
421,0.14,0.73
422,0.00,0.17
423,0.09,0.69
424,0.00,0.00
425,0.11,0.69
426,0.12,0.56
427,0.13,0.33
428,0.00,0.00
429,0.17,0.33
430,0.16,0.72
431,0.23,0.82
432,0.00,0.00
