Total_Stu,x,y
0,0.00,0.00
0,0.00,0.00
48,0.57,0.04
0,0.00,0.00
161,0.42,0.00
102,0.31,0.47
0,0.00,0.00
99,0.33,0.33
68,0.50,0.23
13,0.43,0.33
23,0.20,0.37
96,0.43,0.20
93,0.26,0.63
7,0.19,0.78
27,0.33,0.38
5,0.24,0.50
36,0.49,0.13
27,0.29,0.34
0,0.00,0.00
113,0.48,0.22
17,0.44,0.12
13,0.31,0.41
2,0.17,0.75
22,0.26,0.43
69,0.33,0.36
14,0.32,0.39
14,0.24,0.19
20,0.41,0.33
108,0.42,0.26
12,0.32,0.33
73,0.47,0.22
99,0.47,0.15
98,0.43,0.22
0,0.00,0.00
0,0.00,0.00
66,0.47,0.21
12,0.30,0.50
111,0.25,0.38
65,0.40,0.19
0,0.00,0.00
38,0.27,0.61
61,0.41,0.23
6,0.26,0.67
0,0.00,0.00
58,0.38,0.48
272,0.47,0.17
66,0.46,0.29
149,0.37,0.19
9,0.60,0.00
8,0.11,0.50
54,0.42,0.22
190,0.31,0.14
0,0.00,0.00
52,0.40,0.15
0,0.00,0.00
166,0.54,0.16
60,0.56,0.09
92,0.52,0.17
119,0.49,0.20
65,0.44,0.28
18,0.19,0.26
1,0.20,0.67
89,0.28,0.34
13,0.24,0.45
32,0.39,0.25
4,0.67,0.50
103,0.48,0.19
11,0.24,0.26
37,0.46,0.32
0,0.00,0.00
34,0.32,0.35
132,0.44,0.30
0,0.00,0.00
190,0.24,0.36
296,0.49,0.18
84,0.51,0.22
268,0.50,0.21
0,0.00,0.00
0,0.00,0.00
50,0.47,0.31
0,0.00,0.00
95,0.42,0.25
73,0.41,0.33
33,0.29,0.28
82,0.31,0.37
78,0.49,0.31
61,0.42,0.40
14,0.26,0.23
75,0.36,0.25
51,0.40,0.30
16,0.41,0.27
52,0.26,0.18
10,0.23,0.36
152,0.25,0.08
58,0.28,0.56
43,0.18,0.36
28,0.48,0.19
103,0.33,0.32
17,0.33,0.20
44,0.39,0.28
97,0.53,0.14
0,0.00,0.00
16,0.33,0.23
200,0.48,0.17
36,0.16,0.65
31,0.31,0.38
104,0.13,0.76
0,0.00,0.00
56,0.27,0.46
60,0.17,0.03
9,0.20,0.53
59,0.33,0.42
30,0.38,0.25
0,0.00,0.00
58,0.43,0.12
18,0.43,0.31
28,0.38,0.38
12,0.22,0.40
2,1.00,0.00
0,0.00,0.00
0,0.00,0.00
108,0.39,0.34
36,0.52,0.22
0,0.00,0.00
18,0.38,0.28
71,0.33,0.34
1,0.07,0.75
60,0.43,0.16
7,0.24,0.21
23,0.33,0.30
100,0.55,0.25
19,0.28,0.58
0,0.00,0.00
185,0.55,0.09
14,0.40,0.21
141,0.52,0.14
68,0.40,0.23
0,0.00,0.00
21,0.33,0.32
15,0.43,0.25
17,0.24,0.39
90,0.34,0.49
13,0.28,0.60
48,0.33,0.24
33,0.41,0.27
0,0.00,0.00
42,0.56,0.18
50,0.39,0.26
26,0.41,0.18
90,0.46,0.18
170,0.58,0.05
92,0.33,0.44
117,0.58,0.12
103,0.51,0.14
205,0.52,0.22
157,0.48,0.16
6,0.50,0.50
93,0.30,0.37
130,0.51,0.15
101,0.57,0.17
52,0.55,0.20
