id,x,y
320,0.08,0.36
321,0.12,0.65
322,0.19,0.64
323,0.03,0.67
324,0.06,0.50
325,0.00,0.43
326,0.10,0.57
327,0.04,0.43
328,0.13,0.56
329,0.10,0.56
330,0.00,0.50
331,0.13,0.46
332,0.00,0.75
333,0.00,0.00
334,0.04,0.07
335,0.11,0.76
336,0.08,0.52
337,0.08,0.47
338,0.05,0.56
339,0.14,0.44
340,0.12,0.55
341,0.17,0.28
342,0.17,0.42
343,0.00,0.00
344,0.06,0.68
345,0.20,0.43
346,0.13,0.53
347,0.13,0.50
348,0.10,0.60
349,0.13,0.39
350,0.08,0.48
351,0.08,0.50
352,0.14,0.35
353,0.06,0.54
354,0.07,0.38
355,0.18,0.68
356,0.05,0.50
357,0.11,0.49
358,0.06,0.60
359,0.07,0.62
360,0.08,0.52
361,0.25,0.25
362,0.05,0.22
363,0.33,0.50
364,0.14,0.23
365,0.08,0.39
366,0.03,0.38
367,0.13,0.38
368,0.18,0.44
369,0.00,0.50
370,0.00,0.00
371,0.00,0.00
372,0.06,0.38
373,0.00,0.20
374,0.05,0.45
375,0.13,0.50
376,0.03,0.56
377,0.14,0.70
378,0.09,0.64
379,0.11,0.65
380,1.00,0.00
381,0.09,0.40
382,0.12,0.36
383,0.09,0.54
384,0.10,0.53
385,0.08,0.75
386,0.05,0.41
387,0.07,0.48
388,0.08,0.48
389,0.17,0.62
390,0.17,0.41
391,0.00,0.00
392,0.08,0.62
393,0.14,0.43
394,0.03,0.45
395,0.23,1.00
396,0.08,0.53
397,0.15,0.58
398,0.13,0.75
399,0.11,0.65
400,0.00,1.00
401,0.09,0.38
402,0.05,0.53
403,0.00,0.00
404,0.00,0.25
405,0.18,0.22
406,0.12,0.50
407,0.19,0.57
408,0.05,0.10
409,0.14,0.49
410,0.29,1.00
411,0.14,0.50
412,0.13,0.27
413,0.30,0.36
414,0.07,0.51
415,0.09,0.59
416,0.09,0.33
417,0.04,0.48
418,0.38,0.20
419,0.00,0.00
420,0.02,0.67
421,0.05,0.33
422,0.15,0.42
423,0.06,0.42
424,0.13,0.57
425,0.19,0.29
426,0.08,0.78
427,0.06,0.38
428,0.00,0.00
429,0.17,0.36
430,0.00,0.00
431,0.06,0.57
432,0.04,0.50
433,0.13,0.43
434,0.07,0.44
435,0.07,0.59
436,0.11,0.90
437,0.24,0.22
438,0.30,0.28
439,0.15,0.40
440,0.08,0.68
441,0.07,0.45
442,0.14,0.40
443,0.00,0.00
444,0.00,0.00
445,0.19,0.38
446,0.20,0.33
447,0.13,0.36
448,0.18,0.67
449,0.10,0.38
450,0.00,0.00
451,0.04,0.48
452,0.15,0.32
453,0.00,0.00
454,0.06,0.63
455,0.00,0.00
456,0.09,0.41
457,0.18,0.50
458,0.08,0.33
459,0.00,0.00
460,0.00,0.00
461,0.00,0.00
462,0.13,0.48
463,0.07,0.40
464,0.11,0.64
465,0.00,0.00
466,0.16,0.40
467,0.21,0.62
468,0.09,0.43
469,0.00,0.00
470,0.00,0.00
471,0.00,0.00
472,0.00,0.00
473,0.00,0.00
474,0.04,0.50
475,0.09,0.60
476,0.13,0.43
477,0.11,0.30
478,0.03,0.17
479,0.05,0.42
480,0.00,0.00
481,0.05,0.50
482,0.14,0.42
483,0.00,0.75
484,0.00,0.00
485,0.20,0.47
486,0.15,0.63
487,0.05,0.64
488,0.13,0.54
489,0.17,0.49
490,0.15,0.31
491,0.08,0.75
492,0.06,0.33
493,0.00,0.00
494,0.00,0.00
495,0.12,0.60
496,0.11,0.33
497,0.07,0.51
498,0.10,0.75
499,0.08,0.50
500,0.11,0.55
501,0.10,0.41
502,0.03,0.08
503,0.00,0.00
504,0.14,0.46
505,0.09,0.45
506,0.11,0.44
507,0.00,0.67
508,0.08,0.66
509,0.00,0.59
510,0.10,0.67
511,0.16,0.74
